polarity,title,review,review_length
0,WISH I DIDN'T READ THIS,imagine sylverster stalone steven segal picking avacadoes books otherwise bother,80
1,Great,drying baby 's things paper towels space bought rack n't take much space efficient easy set,91
0,"new and unhistoricalJerome""bibical"" comentary",new jerome bibical commentary contradiction works writings st jerome.this book misleading bibical keeping historical books jerome wrote,135
1,"Good flashlight, but...",'s enormous another user 's recommended items list backpacking way would take thing 's big weighs much backpacking trip regular camping trip would perfect light,160
0,Tasteless,hey metalhead music touches types subjects mainstream society go near violence satanism death war fair game however song called kill children 'd draw line suppose none idiots kids,179
0,Horrible.,scientifically inaccurate poorly reasoned dreadfully written quite possibly worst popular science book ever read huge disappointment real disservice fascinating important subject,178
0,bad bad stuff,could expect jay-z pimps couple clowns quick profit mean really,63
1,KitchenAid Ice Cream maker - Yum!,got mixer christmas number years ago lot attachments easy put easy clean afterwards use time,92
0,Hated this soap.,excited tomato soap liked smell used week see would first couple days acne got worse kept longer skin get better marginally switched soaps quick one went trash,159
1,STILL APPROPRIATE TO TROUBLED YOUTH 30 YEARS LATER,todays troubled youth relate piri 's experience read many young people amazed written 30 years ago must anyone works troubled teens,131
0,Disappointing,issues others sucked batteries shorted would lived fuzzy stars 17 month old daughter liked lights replacing thing happen,120
1,Weatherstripping,thick chemicals easy staple place job like solid feel closing door placethe color dark grey likely blend anyones door jamb decor.i chose plastic kind n't last smells bad yes way sensitive,187
0,Not reliable,fridge lasted 6 7 months failing pretty long compared reviews used keep drinks cold bedroom eventually fridge would go hot even switched cold.not reliable product,162
1,love the series,love series loved quality dvd bought thanks look forward buying rest series,75
1,Great for getting rid of fruit flies,works fine oscillates without problem could bit quieter use corner countertop near fruit bowl read fruit flies handle even slight breeze run see one two fruit flies,164
1,Can't stop listening to it.,love cd saw jimmy kimmel knew cd wife stop listening,52
1,Worth reading,follow 4 blondes could wait read janey surprised see horrible reviews thought book great went rather fast well worth time candace great,135
1,balanced,movie historically accurate opinions held minimum would reccommend without extensive knowledge background making kjv,116
1,gripping,started reading novel wife couldnt get se reading decided give try friends worth without dbout one best read sure best last two three years,139
1,Coming Back Alive,excellent book keeps edge seat well written.a good look shoulder coast guard life saving service provide,104
0,Poor Packaging,cmt makes excellent router bit amazon ship safely ordered 2 bits damaged poor packaging asked amazon send replacements better packaging arrived damaged.again continue buy cmt bits definately come amazon,202
0,Diana Ross Live - The Lady sings>>>,quality concert average quality dvd badyou paid new send second hand dvd spring every half hour back earlier part concert irritant last time buy somethingby amazon.com,167
0,Only in an emergency,makes nice spark tough shave side hard keep shavings pile especially wind burn quickly need lot get tender catch emergency get work regular fire starting duties stick something else,181
1,Great book,great book everyone know never anymore books great,50
1,Cool KISS album,listen album every day songs sound good acoustic guitars liked gene paul bruce eric ace peter played together couple songs would 've like see country version god thunder black diamond 15 songs disk amazing,205
1,The Best Charcoal Grill Made,owned grill 4 years cook minimum 4 times per week use direct well indirect methods get results looking smoked briskit whole salmon turkeys short love thing looking high quality long product life,194
1,Awsome,game aswome totally fun guy posted odds rolling smashing high actually winning considered impossible noob played first track never seen first race get game,155
0,lots of stuff similar to crafts done in her magazine,like martha stewart subscribe magazine bought last year 's christmas book one missing something lots ideas 've seen either magazine tv show ideas great usually worth price book,176
0,wotz all this then,like reviewers tried like album cd player car past week well uhi dunno get seems sometimes artists try damn hard sound indy bury decent song sludgy probably expensive production course taste subjective thing bores death,219
0,Panasonic ES2216PC Close Curves Wet/Dry Ladies Shaver,far good dry shaving results meet expectations several tries results yield smooth shave perhaps adjustments need made happy results far perhaps wet mode better intent,166
1,Recommended,tried course 6 months started studying german although n't learn many new words learned use vocabulary already think course excellent improve conversational skills,163
0,Bodygroom Shaver,seller send item month waiting emailed even send adequate reply receiveing product end file claim would tell anything status purchase,133
0,Absolutely Horrible,'s coming huge web fan read every single one books one would rate bad totally implossible dialogue sappy borrow copy buy,120
1,One of the greatest albums ever,bought album 3 times good.once vinyl back day later bought cd somehow got lost move finally bought mp3.i never black sabbath fan sabbath ronnie james dio perfect match think safe say album legend,195
1,Wonderful!,kindle wonderful way read two eye surgeries difficult read eyes get tired kindle longer happens set type face size need glare highly recommend product,150
0,Wrong.,sadly catalogue methods contraception abortion clinics.it thereby misses vital first steps babyproofing marriage,112
0,Lousy remaster,sound quality poor distant lacking stage presence also dissapointed version poinciana mostly guitar soemone never heard mentioned liner notes overall miss sonically packaging,174
1,Interesting Read,interesting read provides insight takes become real orthopedic surgeon would 've preferred little less family info little medical info good book anyone would like learn training involved become surgeon,201
1,Turn your TV into a slide show.,loved using hook camera tv show pictures several people big screen easy use,75
1,Fleece Sheets,sheets extremely soft cozy ordering boys need colors,52
0,loafer shoe,ordered size 9.5 2e shipped size 9.5 2a much much narrower normal width look man ware size returning cost rxpensive ordered korea,129
1,It seems like I have reviewed this before . . .,downloaded album one favorites 40 years ago found still 4-part harmonies still soar feel like 20-year-old,105
1,Greed is Good,outstanding account devoured one weekend 1993 classic representation financial movers shakers decade greed 1980s,112
0,Not very helpful,book helpful bought hikes listed required car get starting point also helpful chinatown portion n't mention nothing really opens 11am,133
0,Defective watch,careful purchase watch amazon could return defective without warranty card.i problems got mine two weeksago,107
1,funny,son watch holidays glad puchased waiting arrive -d,50
0,I am disappointed,wahl 79300-400 color pro 20 piece complete haircutting kiti disappointed purchase comb number 6 19mm 3/4 lavender color broken factory unfair disappointed please help comb.fernando a fernandez cohen,198
1,Leslie Howard's finest work,fell love leslie howard saw movie could waitress crazy refusing proposal,72
0,Dont waste your money,book one ridiculous non fact based book homosexuality ever read authors association exodus proves point called reparitive therapy outlawed california.being gay bad ok are.if want great book get loving someone gay,212
1,i love it,cheap job smaller one bit soft big one well worth price,55
1,Cat loves it!,christmas present mom 's cat bought one like much narrower loves actually curled sleep,86
1,Great company to work with.,product excellent movie sucked waste money movie think worse movie ever saw,75
0,Don't buy this book if you have kids.....,unless want prepare two meals meal time see offering 10 year old beans sprouts dinner,85
0,Not for beginners.,really detailed hard draw characters novice like good tracing unless really good recommend want copy something look characters another anime like practice,154
1,Nice product,find hard find slips department stores anymore decided order one online happy product works well dress,102
1,My Utmost for His Highest Journal,purchased daughter oswald chambers classic godly devotions always challenging inspiring anointed godly daily living handsome cover asset library shelf,150
1,Excellent service,thanks sending book promised condition excellent new timely,59
0,Not what I wanted!,took long time receive product fragrance lavender would recommend product anyone,80
0,NOT user friendly,item user friendly means get music biggest pain neck 's ssoooooo much easier go cd carry radio understand everyone likes things uuuuggg,135
0,Less than 1 star,problem seller since sent quickly 2 cd 's game uninstalled within 5 minutes believe someone went time expense create waste time public,134
0,simply not good,cat hates use gloves n't work save money invest different pair think type rubber used n't collect hair,102
0,superboy goes to germany,utterly silly movie school boys era hitler youth hard trivalize era cross twixt rocky loneliness long distance runner succeeds shall waste time,143
1,"Wow, Fast",book arrived perfect condition well wrapped got record speed 'd buy seller,74
1,Great product - helps with back pain,comfy easy move helps hip back pain used pillow feels warm,58
0,B Movie.,well written movie although storyline plausable details seem thrown together filler good looking couple though initially,120
1,"Sister, sister",truly love cd bought 3 times people keep stealing play one bad song timing take back love must versions title track record love love another gem think,150
0,"An excellent design, and a shobby manufacturing",purchased march 30 2003 61 frames camara stopped working hp advised battery compartment open closed turn camera knew hp knows manufacturing defect willing anything existing units buying unit price gamble,203
1,Great Pan,yet see break covering wonderful non-stick pan would buy next order,67
1,Skillet Magic,wife looking new skillet reading positive reviews one bought loves bought another one niece 's bridle shower nuff said,118
0,Should be correctly labeled,agree reviews yoga 's titled like yoga beginners seems incomplete inadequate would actually think even beginners would take away much dvd 's like light workout 's plenty dvds far helpful pass,191
1,Kool looking keyboard !!,nice looking keyboard especially red backlighting matches 22in monitor perfectly even purchased red saitek mouse match keyboard received three days,147
1,Really good stuff,okay first heard song sprite commercial friend loved much went search see cd coming 'll 'll first line get song refreshing b/c like songs rythm different words love promise,172
0,Day bed,product disappointing spring included place matress bed daughter wait another three weeks shipment use bed spend extra 180,122
0,all about teeth,movie good teeth 's kind good friends,37
1,"It's cool, baby",blaxploitation movie best spirit genre crazy plot ham acting superfluous martial arts gunplay movie open cool one sit back watch dynamite action,144
1,October Baby,awesome got watch whole family wish industry would make family movies like,74
0,Unreadable,book badly written largely unreadable many sections pure babble.i hoped exercises tell show book.the author 's arrogance tiresome say least nancy kress character emotion viewpoint vastly professional book,204
1,Received in Great Condition,product great condition shipped timely manner pleased product,61
0,Hillbilly cooking,book cute witty expected wanted recipes makes southern people look/sound like fools titles returning,100
1,This is the best!!!!!!!!!!!!!!,hello everyone thinks pearl jams version better ears eddie vetter sings song key voice cracks constantly sing version soo much better sung key harmony,150
0,Crushed Tomato Machine,extremely disappointed product wanted crushed tomatos could buy grocery store unclear instructions setup holding mechanism insufficient whole vegetable fruit,157
0,This book could have been better,story 9 10 boring every story page two great author books written past stories short sometimes even look like meaning well developed feels like one big advertisement books,171
1,"Durable, Durable, Durable",bought jump-o-lene 1 year old two 3 year old nieces nephews 18 month old niece play bounce enclosure got sitting wife 3 kids close 500 pounds weight didnt fell like going bust highly recommend toy matter tough kids,214
1,Perfect!,daughter lots long necklaces scarves product perfect keeps things well organizer reach displayed nicely mounted easy wall well,126
0,Awful,bought thinking would something like resident evil turned awful camera angle often akward seems like going train car entire game n't buy,136
1,"Great DVD, great service",ease finding dvd ordering website fantastic received confirmation email another day two estimated arrival dvd showed two days early even better keep great work,159
0,dirty in nc,dissapointed product needs weight front pick solution carpet,60
0,Not her best,really enjoy author best work could even finish book somewhat depressing seemed pretty repetitive,97
0,Very Ugly game.,ugliest game ever made seriously folks ugly game graphix sucks cloud looks like doll worst game ever,100
0,legendary irish tenors,find one cd order received today thi advertised net please send cd 2 asadvertised oblige astonished thank john kenny,116
0,poor quality,either heat little return policy almost non existant would buy,62
1,Just Bought New Copy,far one favorite books time read book many times book falling apart packing tape keeping cover one really recommend book everyone put book,138
1,Must have for Hawaii fans,real story hawaii became part united states way took advantage wonderful people,79
1,Another Great Read,constantly pleased authors books story pleasant step back time life simple makes appreciate hardships ancestors endured recommend books,135
0,Excellent... but...,great set movies say dvd transfer one worst jobs ever seen person notice compression artifacts quality video noticably crowds boxing ring first movie start sorry recommend never seen watch drop money box set,207
1,Great gift!,purchased gift relative said great loves 's great price,55
0,Not what you are looking for.,manual collection pictures old ads review actual manual looking manual instruction hte volunteers militia united states,119
1,Another Surprise!,like frog item better expected well worth money,47
1,Great read!,pleased book covers chakras crystals laying hands healing great read women,74
1,Does what it says it does,case looks nice fits nicely problem price tag easily open ihome speakers ipod case fit get case open stick something jiggle around used credit card 's frustrating case works fine,178
0,not using book,book fine going follow diet weight watchers type diet instead.i lost 7 lbs drinking man 's diet week using book put back 3 wks kept wanting binge,145
1,Garage Sale Success,friends garage sale using video sold placed cds sale made mint garage sales part never got results great video never knew much successful garage sale,149
1,Highly recommended for the budding musician or publicist.,pettigrew excellent job emphasizing importance publicity music business effectively reveals every trick trade preparing professional press kits press releases pitch letters,172
0,G Whiz,stand man done classics especially ruining wonderful world poor louis must rolling grave,88
1,Great Pot,reading reviews went ahead ordered cured works great great part cast iron collection,84
1,Lizzy - A reader.,fantastic product great details bought another young nephew enjoys geography,76
0,Problems With Words With Accents,read tolkien 's forward prologue already found number typos kindle edition words elvish black speech accute accents dunédain barad-dr hope amazon correct update kindle edition,175
1,What a pleasant surprise in our own back yard!,never heard beth yeshaya heard morning show minnesota public radio beautiful version black orpheus bought cd amazed talent range every track winner,147
0,unconfortable,product seems quite sturdy wide small stroller ok big car light one,67
1,Disneynature: African Cats (Two-Disc Blu-ray/DVD Combo in Blu-ray Packaging),great high quality wild life documentary well produced made movie stars african cats must see documentary wildlife lovers,121
1,Fun little gadget,bought play around camping worked quite well proper tinder,58
0,don't buy this radio,get reception n't even power cold weather matter say new improved care waste good money radio crap,98
0,Possible hHazard when used for stairs,bought used stairways problem going stairs coming difficult push pedal baby hand even hands free hardly spacee pedal stair,122
0,Not worth it.,lack channel selection worth cheap price ended buy another product meet needs,77
0,Not convinced...,sorry find straps worked tried move big sub-zero fridge straps slide could adjust stay position simpler system two independent straps works better,146
1,maury L,small item best deal service ive ever internet thanksmaury l,60
0,Doesn't prevent glare at all,little difference amount glare without filter place buy screen protector anti-glare aid,87
0,"Pretty book, marginally acceptable science, appalling writing",book gets two stars gorgeousness pictures actual science content shoddy writing horrific n't fooled kingfisher owned public school curriculum company shares flaws text book has.bitterly disappointing,199
1,Suzanne Prentice CD,looking cd ages thank one problem n't play cd players lovely listen ones play,77
1,The Best RPG ever,best rpg ever nothing comes close recommend buy instatly like rpg,65
1,Wonderful,blissology project new favourite yoga dvd cheers bliss buy someone love namaste,79
0,It's just like 2K1,game 2k1 's fun game part player updates statistics truth somtimes forget 2k2 2k1,81
0,"Boring, boring, boring",read lot john irving younger excited read new book long book way usual standard.the characters unlikable believable goes want read john irving try earlier work,159
0,BAD!,cd bad stastic-x horrible rip everything bad thing bad song real says 5 different songs songs make sense stink heard worse cd,125
1,Craftsmanship at its best!,sog line assisted opening knives without doubt best crafted reasonably priced knife humble opinion lightweight easily opened one hand pure craftsmanship,152
1,Good Book,read book school decided re-read adult quite remembered years still good book quick read like book recommend cay,112
1,Penitent Man DVD,lance henriksen shines movie exceptional actor brings character life.i reccomend movie anyone,93
0,2000 mg is too much,february 13 studies recommended smaller dose calcium linked excess calcium heart disease course bought prior reading study pills large solid hard swallow like barefoot calcium previously bought recommend,203
1,Functional and Comfortable.,light chair backpack feature convenient wish canvas seat bit wider thin would comfortable one inch wider still recommend highly would given 4 one half stars durable many people beach chair,188
0,"boring, marginally erotic",soft version japanese adult video series portraying sex attacks trains buses xxx version much graphic sex genre interested 21 something adult check jav.com definitely eastern thing,180
0,Broke After Several Uses,received toaster oven gift less six months ago used handful times days ago door refuses close completely one-inch gap let heat kitchen use thanks euro-pro know never buy products choice,185
0,"Started great, lasted a month.",battery lasted long enough out-live warranty got 45 days stopped holding charge return n't buy guys,99
1,Hagerty Holloware Bag,good use store silver pieces also use smaller bags store silver jewelry tends tarnish quickly,93
1,Outstanding.,one favorite movies really sure negative comments coming think kevin spacey amazing job rest cast worked well together,118
0,"Slow, but a good moral",think book slow confusing forced read 7th grade guess good moral getting lot hard choices life would recomend many people,121
0,If only no stars were possible...,piece crud one likeable character one truly amusing moving episode rarely stop reading book part way 2/3rds text book i made right choice hope,142
